,Mean,Max,Min
2636,59.0,64.0,57.0
2637,58.75,63.0,57.0
2638,59.0,64.0,57.0
2639,58.75,64.0,57.0
2640,59.75,64.0,57.0
2641,60.5,64.0,58.0
2642,62.0,64.0,60.0
2643,63.0,66.0,61.0
2644,64.0,65.0,63.0
2645,63.75,66.0,63.0
2646,63.75,66.0,63.0
2647,64.5,69.0,63.0
2648,65.75,71.0,64.0
2649,65.0,69.0,63.0
2650,63.75,65.0,63.0
2651,63.25,64.0,63.0
2652,61.75,63.0,61.0
2653,61.75,64.0,61.0
2654,60.5,64.0,59.0
2655,60.0,63.0,59.0
2656,59.75,63.0,58.0
2657,59.75,63.0,58.0
2658,59.75,63.0,58.0
2659,59.75,62.0,59.0
2660,58.5,62.0,57.0
2661,58.0,61.0,57.0
2662,58.0,61.0,57.0
2663,58.25,62.0,57.0
2664,59.0,64.0,57.0
2665,60.5,65.0,59.0
2666,59.75,65.0,57.0
2667,59.25,65.0,57.0
2668,59.75,65.0,57.0
2669,59.75,67.0,57.0
2670,59.5,66.0,57.0
2671,59.25,61.0,58.0
2672,60.25,65.0,58.0
2673,60.25,64.0,59.0
2674,59.25,64.0,57.0
2675,58.5,63.0,57.0
2676,56.5,61.0,54.0
2677,56.25,60.0,55.0
2678,56.5,61.0,55.0
2679,56.5,61.0,55.0
2680,56.25,60.0,55.0
2681,55.75,60.0,54.0
2682,56.0,59.0,55.0
2683,56.0,59.0,55.0
2684,55.5,59.0,54.0
2685,55.25,58.0,54.0
2686,55.75,59.0,54.0
2687,56.5,61.0,55.0
2688,56.75,62.0,55.0
2689,57.75,63.0,55.0
2690,58.25,63.0,56.0
2691,58.5,63.0,57.0
2692,60.0,64.0,58.0
2693,60.25,64.0,59.0
2694,58.75,64.0,57.0
2695,60.25,65.0,58.0
2696,59.75,66.0,57.0
2697,59.0,64.0,57.0
2698,59.0,64.0,57.0
2699,58.25,62.0,57.0
2700,57.5,61.0,55.0
2701,56.5,60.0,55.0
2702,56.0,58.0,55.0
2703,55.75,58.0,55.0
2704,55.5,57.0,55.0
2705,54.666666666666664,56.0,54.0
2706,54.25,56.0,52.0
2707,52.75,55.0,52.0
2708,52.25,55.0,50.0
2709,51.25,54.0,50.0
2710,51.25,55.0,50.0
2711,51.5,57.0,49.0
2712,51.75,57.0,50.0
2713,53.25,58.0,51.0
2714,53.5,59.0,51.0
2715,54.0,61.0,51.0
2716,54.666666666666664,62.0,50.0
2717,53.5,63.0,50.0
2718,53.25,62.0,50.0
2719,54.666666666666664,64.0,50.0
2720,54.0,64.0,50.0
2721,53.75,64.0,50.0
2722,53.5,64.0,50.0
2723,52.5,61.0,49.0
2724,51.0,59.0,48.0
2725,50.5,57.0,48.0
2726,49.0,56.0,46.0
2727,49.0,57.0,46.0
2728,47.5,54.0,45.0
2729,45.75,53.0,43.0
2730,45.25,52.0,43.0
2731,43.75,51.0,41.0
2732,44.0,51.0,41.0
2733,45.25,50.0,43.0
2734,46.0,50.0,44.0
2735,47.0,51.0,45.0
2736,47.25,53.0,45.0
2737,48.25,55.0,46.0
2738,48.25,55.0,46.0
2739,49.0,58.0,46.0
2740,51.0,61.0,47.0
2741,51.5,62.0,48.0
2742,51.5,63.0,47.0
2743,52.0,62.0,46.0
2744,50.25,62.0,46.0
2745,50.25,62.0,46.0
2746,51.0,61.0,46.0
2747,49.5,60.0,46.0
2748,49.0,58.0,46.0
2749,48.75,57.0,46.0
2750,49.0,55.0,46.0
2751,48.0,54.0,46.0
2752,48.0,54.0,46.0
2753,47.5,53.0,45.0
2754,47.0,52.0,45.0
2755,47.0,51.0,45.0
2756,46.5,51.0,45.0
2757,46.25,51.0,44.0
2758,46.25,51.0,44.0
2759,46.75,52.0,45.0
2760,48.0,54.0,46.0
2761,48.25,55.0,46.0
2762,49.5,57.0,46.0
2763,50.75,59.0,48.0
2764,51.25,61.0,48.0
2765,51.75,62.0,48.0
2766,52.0,63.0,48.0
2767,52.5,63.0,48.0
2768,51.75,61.0,48.0
2769,51.0,60.0,48.0
2770,50.0,58.0,46.0
2771,49.0,57.0,46.0
2772,48.25,54.0,46.0
2773,48.0,52.0,46.0
2774,47.333333333333336,50.0,46.0
2775,46.75,49.0,46.0
2776,46.666666666666664,49.0,45.0
2777,46.25,49.0,45.0
2778,45.75,48.0,45.0
2779,46.0,48.0,45.0
2780,45.5,48.0,44.0
2781,44.25,47.0,43.0
2782,45.75,49.0,44.0
2783,46.0,50.0,44.0
2784,46.25,51.0,44.0
2785,47.0,53.0,45.0
2786,48.0,54.0,46.0
2787,48.25,56.0,45.0
2788,48.666666666666664,56.0,45.0
2789,48.0,56.0,45.0
2790,48.75,57.0,46.0
2791,49.333333333333336,56.0,46.0
2792,48.5,55.0,46.0
2793,48.0,55.0,45.0
2794,47.75,54.0,45.0
2795,46.75,54.0,43.0
2796,45.75,53.0,43.0
2797,44.666666666666664,52.0,41.0
2798,44.0,52.0,41.0
2799,43.75,51.0,41.0
2800,43.0,49.0,41.0
2801,41.5,47.0,39.0
2802,41.0,46.0,39.0
2803,39.5,45.0,37.0
2804,40.0,44.0,37.0
2805,40.5,46.0,38.0
2806,41.25,48.0,39.0
2807,42.5,50.0,39.0
2808,45.0,53.0,41.0
2809,45.25,56.0,41.0
2810,47.5,57.0,43.0
2811,48.5,56.0,46.0
2812,50.0,59.0,46.0
2813,51.75,60.0,48.0
